popularity,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence,year,duration_min
75,0.923,0.516,0.228,0.155,-13.467,0.0363,149.247,0.502,1986,2.915766667
55,0.144,0.621,0.773,0.161,-12.157,0.0475,140.748,0.856,1986,3.714883333
57,0.00592,0.711,0.626,0.0696,-8.992,0.0268,117.661,0.65,1986,3.964433333
60,0.175,0.657,0.415,0.132,-9.915,0.025,96.03,0.347,1986,3.105766667
64,0.937,0.436,0.359,0.146,-14.491,0.0298,164.025,0.162,1986,4.475
75,0.0291,0.506,0.809,0.0909,-5.754,0.0539,119.651,0.559,1986,3.072666667
65,0.32,0.449,0.424,0.107,-14.06,0.0323,125.494,0.259,1986,4.27
67,0.0421,0.878,0.84,0.053,-13.105,0.064,116.222,0.882,1986,4.333333333
58,0.263,0.2,0.434,0.117,-14.274,0.0294,83.876,0.37,1986,5.182216667
62,0.223,0.455,0.758,0.0986,-11.361,0.0454,141.304,0.54,1986,4.9
68,0.0883,0.722,0.961,0.278,-4.812,0.0514,126.113,0.91,1986,3.8194
64,0.943,0.425,0.401,0.072,-9.427,0.0315,115.71,0.531,1986,2.622666667
59,0.00208,0.56,0.716,0.0405,-12.447,0.0344,132.364,0.723,1986,3.242666667
67,0.00224,0.529,0.768,0.297,-5.51,0.0566,127.316,0.769,1986,3.514666667
64,0.151,0.55,0.796,0.222,-7.007,0.0306,105.354,0.622,1986,2.684
63,0.124,0.824,0.506,0.113,-7.12,0.0291,130.717,0.654,1986,3.994883333
66,0.139,0.46,0.932,0.114,-6.264,0.0468,203.617,0.849,1986,3.793766667
57,0.0263,0.314,0.959,0.161,-4.657,0.0908,154.221,0.492,1986,5.160666667
65,0.0025,0.525,0.927,0.216,-9.561,0.0547,161.798,0.308,1986,3.296666667
58,0.018,0.671,0.775,0.121,-5.873,0.0354,130.121,0.695,1986,4.404216667
64,0.626,0.732,0.705,0.0813,-9.271,0.0349,117.925,0.848,1986,4.853333333
65,0.0947,0.616,0.464,0.0929,-13.795,0.034,80.06,0.645,1986,3.094883333
70,0.609,0.322,0.214,0.161,-15.949,0.0345,172.395,0.218,1986,7.258216667
57,0.016,0.613,0.928,0.334,-7.607,0.0396,115.169,0.67,1986,4.7611
63,0.337,0.62,0.402,0.312,-12.964,0.0264,92.093,0.483,1986,4.847333333
76,0.155,0.717,0.837,0.422,-6.968,0.0282,129.881,0.919,1986,2.690666667
66,0.799,0.547,0.0862,0.148,-20.132,0.0482,82.342,0.302,1986,2.950216667
65,0.0873,0.704,0.544,0.041,-11.402,0.026,120.717,0.628,1986,4.492883333
60,0.000305,0.309,0.767,0.0967,-9.676,0.033,97.944,0.413,1986,6.452433333
65,0.208,0.514,0.87,0.524,-6.516,0.0419,118.962,0.847,1986,3.2771
58,0.084,0.759,0.639,0.0518,-11.386,0.0425,116.207,0.706,1986,3.924883333
62,0.438,0.645,0.431,0.0709,-10.178,0.0272,118.223,0.336,1986,3.768883333
56,0.0361,0.513,0.964,0.0972,-5.773,0.103,152.209,0.348,1986,4.14
57,0.0026,0.583,0.692,0.125,-13.562,0.043,137.572,0.795,1986,3.911766667
72,0.114,0.455,0.487,0.358,-7.112,0.0264,136.482,0.139,1986,4.53555
57,0.289,0.534,0.582,0.283,-15.997,0.0374,141.362,0.653,1986,4.85
54,0.452,0.839,0.89,0.0866,-11.697,0.0628,103.652,0.575,1986,4.052216667
59,0.341,0.714,0.762,0.0468,-6.654,0.0429,171.409,0.963,1986,4.999333333
53,0.127,0.748,0.499,0.116,-14.177,0.0648,100.262,0.845,1986,5.012216667
65,0.0806,0.686,0.682,0.14,-12.154,0.033,123.44,0.708,1986,4.253666667
53,0.0282,0.583,0.791,0.272,-7.191,0.45,98.673,0.685,1986,4.592433333
53,0.503,0.67,0.419,0.101,-10.266,0.0249,103.538,0.304,1986,5.047333333
59,0.0194,0.735,0.854,0.138,-6.185,0.0466,105.945,0.714,1986,4.210933333
61,0.791,0.656,0.283,0.133,-10.645,0.0658,130.073,0.97,1986,3.261083333
60,0.000676,0.303,0.922,0.561,-4.376,0.138,138.393,0.695,1986,4.042216667
58,0.0884,0.728,0.619,0.039,-12.265,0.0379,128.845,0.747,1986,4.789333333
72,0.655,0.735,0.497,0.104,-8.467,0.0265,116.12,0.571,1986,5.04155
64,0.0429,0.57,0.931,0.375,-5.78,0.0503,105.37,0.4,1986,4.121766667
65,0.478,0.636,0.272,0.185,-13.787,0.0267,89.595,0.396,1986,3.6451
54,0.0982,0.352,0.623,0.0708,-12.997,0.0518,92.829,0.691,1986,5.084
57,0.109,0.344,0.912,0.19,-11.219,0.164,170.842,0.273,1986,2.573333333
55,0.0968,0.578,0.673,0.0927,-13.156,0.0446,119.786,0.721,1986,2.85955
56,0.0113,0.873,0.62,0.0925,-8.812,0.293,105.332,0.574,1986,3.402216667
52,0.00067,0.539,0.828,0.154,-9.108,0.035,105.25,0.562,1986,8.589766667
71,0.0653,0.724,0.856,0.354,-6.119,0.0283,129.794,0.891,1986,2.696666667
61,0.0709,0.713,0.748,0.156,-6.53,0.0251,111.556,0.924,1986,2.31355
52,4.75E-05,0.264,0.931,0.0897,-7.615,0.0928,90.246,0.414,1986,8.2771
58,0.197,0.769,0.403,0.264,-15.134,0.051,118.007,0.567,1986,4.542216667
69,0.0535,0.627,0.736,0.0239,-6.715,0.0386,144.651,0.774,1986,4.428433333
51,0.0125,0.882,0.735,0.0267,-6.886,0.0547,117.012,0.811,1986,4.948216667
55,0.822,0.563,0.421,0.122,-12.567,0.0311,139.374,0.463,1986,5.315766667
56,0.422,0.469,0.852,0.474,-10.821,0.0446,113.616,0.344,1986,1.982666667
54,0.639,0.492,0.216,0.0598,-16.121,0.0283,168.817,0.145,1986,4.305766667
52,0.0135,0.811,0.851,0.0731,-7.174,0.17,96.761,0.699,1986,3.58555
58,0.959,0.187,0.261,0.111,-14.007,0.0442,100.311,0.0936,1986,1.772216667
54,0.078,0.851,0.574,0.128,-13.622,0.0703,104.274,0.84,1986,5.441766667
52,0.237,0.61,0.734,0.0489,-9.862,0.034,111.698,0.701,1986,3.924883333
59,0.0589,0.738,0.662,0.306,-8.371,0.0268,110.304,0.88,1986,4.145766667
55,0.17,0.393,0.907,0.263,-9.837,0.041,191.897,0.551,1986,1.644433333
53,0.000108,0.679,0.716,0.126,-10.14,0.0313,111.827,0.485,1986,6.601766667
59,0.253,0.741,0.267,0.0987,-17.204,0.0285,102.428,0.497,1986,3.573333333
56,0.112,0.399,0.645,0.255,-5.356,0.0271,82.795,0.384,1986,5.929966667
58,0.473,0.633,0.642,0.0792,-8.678,0.0234,98.612,0.418,1986,4.849383333
63,0.0174,0.59,0.851,0.154,-11.754,0.0297,146.213,0.968,1986,3.638433333
57,0.0372,0.749,0.614,0.0603,-10.594,0.0264,103.868,0.878,1986,3.46955
60,0.161,0.64,0.828,0.0347,-7.941,0.0296,135.975,0.938,1986,4.424433333
53,0.154,0.616,0.342,0.348,-15.828,0.0282,60.508,0.544,1986,2.874883333
69,0.00321,0.596,0.947,0.0897,-3.225,0.0547,102.238,0.487,1986,2.214216667
58,0.295,0.41,0.854,0.355,-11.665,0.0864,174.66,0.495,1986,3.8911
54,0.0986,0.614,0.53,0.09,-8.129,0.0254,108.051,0.58,1986,2.988433333
55,0.823,0.592,0.2,0.101,-16.392,0.0344,172.647,0.382,1986,4.623333333
53,0.683,0.743,0.354,0.0621,-13.619,0.0285,95.123,0.8,1986,4.30665
